Type,Model,Processor,RAM,Graphics Card,Storage,Screen Size,Price,Average Rating,Speed,COUNT
Laptop,Asus ROG Strix Scar 15 G533ZS-HF031,Intel Core i9 14900hx,64GB,NVIDIA GeForce RTX 3080,2000GB ssd,15.6 inches,14100,0.929,,12
Laptop,Asus ROG Strix G16 G614JV-N4104,Intel Core i9 13900kf,32GB,NVIDIA GeForce RTX 4060,1000GB SSD,16 inches,9300,0.8145,,15
Laptop,Asus ROG Strix Scar G16 G614JV-N4250W,Intel Core i9 13900k,16GB,NVIDIA GeForce RTX 4060,1000GB SSD,16 inches,9900,0.8145,,11
Laptop,HP Victus 16 16-d0005nj 4P4B7EA,Intel Core i7 13650hx,16GB,NVIDIA GeForce RTX 3050,1000GB SSD,16.1 inches,5400,0.516,,8
Laptop,Acer Predator Helios Neo NH.QLUEC.00W,Intel Core i9 13900hx,16GB,NVIDIA GeForce RTX 4060,512GB SSD,16.1 inches,6900,0.739,,7
Laptop, HP OMEN 16-wf1000nj 9Y068EA,Intel Core i9 13900hx,64GB,NVIDIA GeForce RTX 4080,1000GB SSD,16.1 inches,12500,0.739,,9
Laptop,Lenovo Legion 5 16ITH6 82JF002YIV,Intel Core i5 13420h,16GB,NVIDIA GeForce RTX 3050,512GB SSD,16 inches,5400,0.2795,,14
Laptop,HP Victus 16-e0001nj 4P4B6EA,Intel Core i5 12450h,16GB,NVIDIA GeForce GTX 1650,1TB,17 inches,4400,0.324,,10
Laptop,Asus TUF Gaming F15 FX507VV4-LP060,Intel Core i7 12700h,16GB,NVIDIA GeForce RTX 4060,1TB,15.6 inches,6600,0.442,,13
Laptop, Asus TUF Gaming F15 FX507VV-LP166,Intel Core i7 13700h,32GB,NVIDIA GeForce RTX 4060,2TB SSD,15.6 inches,6000,0.52275,,6
Laptop,Lenovo IdeaPad Gaming 3 15IAH7 82S90137IV,Intel Core i7 12700h,16GB,NVIDIA GeForce RTX 3050,512GB SSD,15.6 inches,4499,0.442,,12
Laptop,Lenovo Legion Pro 7 16IRX8 82WR001AIV,Intel Core i9  13900h,32GB,NVIDIA GeForce RTX 4070,1TB,17 inches,10700,0.8145,,15
Laptop,Lenovo Legion 5 Pro 16IAH7H 82RF0075IV,Intel Core i5 13400f,16GB,NVIDIA GeForce RTX 3060,512GB SSD,15.6 inches,6200,0.2795,,11
Laptop,Lenovo Legion Pro 5 16IRX9 83DF008WIV ,Intel Core i7 11700,32GB,NVIDIA GeForce RTX 4060,1TB,15.6 inches,7500,0.411,,8
Laptop,Lenovo IdeaPad Gaming 3 15ACH6 82K2004LIV,AMD Ryzen 7,16GB,NVIDIA GeForce GTX 1650,1TB,16 inches,4500,0.3715,,7
Laptop,Lenovo IdeaPad Gaming 3 15IHU6 82K100QAIV,Intel Core i5 13400f,16GB,NVIDIA GeForce RTX 3050 ,512GB SSD,15.6 inches,4400,0.2795,,10
Laptop,Asus TUF Gaming F15 FX507ZC4-HN122W,Intel Core i5 13400f,16GB,NVIDIA GeForce RTX,1TB,15.6 inches,4200,0.2795,,13
Laptop,Lenovo Legion Pro 7 16IRX9H 83DE004CIV,Intel Core i9 12900k,32GB,NVIDIA GeForce RTX 4080,1TB,16 inches,12500,0.5,,14
Laptop,Lenovo IdeaPad Gaming 3 15ACH6 82K2004GIV,AMD Ryzen 7,8GB,NVIDIA GeForce GTX 1650,512GB SSD,15.6 inches,4000,0.3715,,5
Laptop,Asus TUF Dash F15 FX516PM-HN072W,Intel Core i7 11800h,16GB,NVIDIA GeForce GTX 1650,512GB SSD,15.6 inches,5500,0.568,,9
Laptop,Asus TUF Gaming F15 FX507ZU4-LP057,Intel Core i7 10700 box,16GB,NVIDIA GeForce RTX 4050,1TB,15.6 inches,5800,0.3615,,12
Laptop,Lenovo Legion 5 Pro 16ITH6 82JF0031IV,Intel Core i7 11800h,16GB,NVIDIA GeForce RTX 4050,512GB SSD,16 inches,5500,0.568,,6
Laptop,Asus TUF Gaming F15 FX507ZV4-HQ065W,Intel Core i7 12700h,16GB,NVIDIA GeForce RTX 4060,1TB,16 inches,6800,0.442,,15
Laptop,Lenovo Legion 5 15IAH7H 82RB00CFIV,Intel Core i7 13650hx,16GB,NVIDIA GeForce RTX 3060,1TB,16 inches,7400,0.516,,11
Laptop,Asus TUF Dash F15 FX517ZC-HN098W,Intel Core i7 13650hx,16GB,NVIDIA GeForce RTX 3050,1TB,15.6 inches,5700,0.516,,10
Laptop,Lenovo IdeaPad Gaming 3 15IHU6 82K100Q6IV,Intel Core i5 13600k,16GB,NVIDIA GeForce RTX 3050 Ti,1TB,15.6 inches,4700,0.422,,8
Laptop,Gigabyte G5,Intel Core i5 13600k,16GB,NVIDIA RTX 3050T,512GB SSD,15.6 inches,4650,0.422,,9
Laptop,Acer Predator Helios Neo NH.QRAEC.001,Intel Core i9 13900f,32GB,NVIDIA RTX 3050T,1TB,16 inches,11600,0.8145,,7
